date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:17	897/897	---M-Z	200	added ('OK')	text/plain	etag:%22dh1f82nioogm1o6%22	https://election.ratopati.com/robots.txt		(from )
11:54:17	177537/177537	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202026%2006:09:18%20GMT	https://election.ratopati.com/	C:/My%20Web%20Sites/electionupdate/election.ratopati.com/index.html	(from )
11:54:18	27515/27515	---M--	200	added ('OK')	image/png	etag:%22D700DB5BACBA15DFC6F9E3121064EFEA%22	https://npcdn.ratopati.com/election/media/setting/favicon_9mrdNcfNSd.png	C:/My%20Web%20Sites/electionupdate/npcdn.ratopati.com/election/media/setting/favicon_9mrdNcfNSd.png	(from https://election.ratopati.com/)
11:54:18	2976/2976	---M--	200	added ('OK')	font/woff2	date:Fri,%2012%20Jun%202026%2006:09:19%20GMT	https://election.ratopati.com/cf-fonts/v/anek-devanagari/5.2.7/latin-ext/wght/normal.woff2	C:/My%20Web%20Sites/electionupdate/election.ratopati.com/cf-fonts/v/anek-devanagari/5.2.7/latin-ext/wght/normal.woff2	(from https://election.ratopati.com/)
11:54:19	45508/45508	---M--	200	added ('OK')	font/woff2	date:Fri,%2012%20Jun%202026%2006:09:19%20GMT	https://election.ratopati.com/cf-fonts/v/anek-devanagari/5.2.7/latin/wght/normal.woff2	C:/My%20Web%20Sites/electionupdate/election.ratopati.com/cf-fonts/v/anek-devanagari/5.2.7/latin/wght/normal.woff2	(from https://election.ratopati.com/)
11:54:19	257652/257652	---M--	200	added ('OK')	font/woff2	date:Fri,%2012%20Jun%202026%2006:09:19%20GMT	https://election.ratopati.com/cf-fonts/v/anek-devanagari/5.2.7/devanagari/wght/normal.woff2	C:/My%20Web%20Sites/electionupdate/election.ratopati.com/cf-fonts/v/anek-devanagari/5.2.7/devanagari/wght/normal.woff2	(from https://election.ratopati.com/)
11:54:19	93988/93988	---M--	200	added ('OK')	font/woff2	date:Fri,%2012%20Jun%202026%2006:09:20%20GMT	https://election.ratopati.com/cf-fonts/s/mukta/5.2.8/devanagari/200/normal.woff2	C:/My%20Web%20Sites/electionupdate/election.ratopati.com/cf-fonts/s/mukta/5.2.8/devanagari/200/normal.woff2	(from https://election.ratopati.com/)
11:54:19	21360/21360	---M--	200	added ('OK')	font/woff2	date:Fri,%2012%20Jun%202026%2006:09:20%20GMT	https://election.ratopati.com/cf-fonts/s/mukta/5.2.8/latin/200/normal.woff2	C:/My%20Web%20Sites/electionupdate/election.ratopati.com/cf-fonts/s/mukta/5.2.8/latin/200/normal.woff2	(from https://election.ratopati.com/)
11:54:20	14460/14460	---M--	200	added ('OK')	font/woff2	date:Fri,%2012%20Jun%202026%2006:09:20%20GMT	https://election.ratopati.com/cf-fonts/s/mukta/5.2.8/latin-ext/200/normal.woff2	C:/My%20Web%20Sites/electionupdate/election.ratopati.com/cf-fonts/s/mukta/5.2.8/latin-ext/200/normal.woff2	(from https://election.ratopati.com/)
11:54:20	14748/14748	---M--	200	added ('OK')	font/woff2	date:Fri,%2012%20Jun%202026%2006:09:21%20GMT	https://election.ratopati.com/cf-fonts/s/mukta/5.2.8/latin-ext/300/normal.woff2	C:/My%20Web%20Sites/electionupdate/election.ratopati.com/cf-fonts/s/mukta/5.2.8/latin-ext/300/normal.woff2	(from https://election.ratopati.com/)
